category,discounted_price,actual_price,discount_percentage,rating
Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,499.0,1200.0,58.0,4.3
Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,299.0,485.0,38.0,4.3
Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,949.0,1999.0,53.0,4.4
Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,379.0,1099.0,66.0,4.3
"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions",8990.0,18990.0,53.0,3.9
"Electronics|HomeTheater,TV&Video|Accessories|Cables|OpticalCables",486.0,1999.0,76.0,4.2
"Electronics|HomeTheater,TV&Video|Televisions|StandardTelevisions",5699.0,11000.0,48.0,4.2
Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,709.0,1999.0,65.0,4.1
"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions",47990.0,70900.0,32.0,4.3
"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",299.0,1199.0,75.0,3.7
Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,320.0,599.0,47.0,4.1
Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,139.0,549.0,75.0,3.9
Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,129.0,249.0,48.0,4.0
"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions",24999.0,35999.0,31.0,4.2
Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,999.0,1699.0,41.0,4.4
Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,225.0,499.0,55.0,4.1
"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",547.0,2999.0,82.0,4.3
Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,259.0,699.0,63.0,3.8
"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",239.0,699.0,66.0,4.4
"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",349.0,999.0,65.0,4.0
"Electronics|HomeTheater,TV&Video|Accessories|Cables|HDMICables",467.0,599.0,22.0,4.4
Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,449.0,599.0,25.0,4.0
"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions",11990.0,31990.0,63.0,4.2
Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,350.0,599.0,42.0,3.9
Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,252.0,999.0,75.0,3.7
"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",204.0,599.0,66.0,3.6
"Electronics|HomeTheater,TV&Video|Projectors",6490.0,9990.0,35.0,4.0
"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",235.0,599.0,61.0,3.5
Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,299.0,800.0,63.0,4.5
Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,799.0,1999.0,60.0,4.2
"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",299.0,999.0,70.0,3.8
"Electronics|HomeTheater,TV&Video|Televisions|StandardTelevisions",6999.0,16990.0,59.0,3.8
"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions",42999.0,59999.0,28.0,4.1
"Electronics|HomeTheater,TV&Video|Accessories|Cables|HDMICables",173.0,999.0,83.0,4.3
Electronics|HomeAudio|Accessories|Adapters,209.0,600.0,65.0,4.4
Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,848.99,1490.0,43.0,3.9
Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,649.0,1999.0,68.0,4.2
"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",299.0,899.0,67.0,3.8
"Electronics|HomeTheater,TV&Video|Accessories|TVMounts,Stands&Turntables|TVWall&CeilingMounts",399.0,799.0,50.0,4.1
Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,249.0,499.0,50.0,4.1
"Electronics|HomeTheater,TV&Video|SatelliteEquipment|SatelliteReceivers",1249.0,2299.0,46.0,4.3
"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",213.0,499.0,57.0,3.7
"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",209.0,499.0,58.0,4.0
"Electronics|HomeTheater,TV&Video|Accessories|Cables|HDMICables",598.0,4999.0,88.0,4.2
Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,799.0,1749.0,54.0,4.1
Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,159.0,595.0,73.0,4.3
Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|DVICables,499.0,1100.0,55.0,4.4
"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions",31999.0,49999.0,36.0,4.3
"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions",32990.0,56790.0,42.0,4.3
"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",299.0,1199.0,75.0,3.5
Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,128.31,549.0,77.0,3.9
Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,599.0,849.0,29.0,4.5
"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",399.0,899.0,56.0,3.4
Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,449.0,1099.0,59.0,4.0
Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,254.0,799.0,68.0,4.0
"Electronics|HomeTheater,TV&Video|Accessories|Cables|SpeakerCables",399.0,795.0,50.0,4.4
Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,179.0,399.0,55.0,4.0
Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,339.0,999.0,66.0,4.3
"Electronics|HomeTheater,TV&Video|Accessories|TVMounts,Stands&Turntables|TVWall&CeilingMounts",399.0,999.0,60.0,4.0
"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",199.0,399.0,50.0,4.2
"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",349.0,1999.0,83.0,3.8
Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,299.0,798.0,63.0,4.4
Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,89.0,800.0,89.0,3.9
Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,549.0,995.0,45.0,4.2
Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,129.0,1000.0,87.0,3.9
"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions",77990.0,139900.0,44.0,4.7
"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",349.0,799.0,56.0,3.6
"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",499.0,899.0,44.0,3.7
Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,299.0,799.0,63.0,4.2
Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,182.0,599.0,70.0,4.0
"Electronics|HomeTheater,TV&Video|Accessories|TVMounts,Stands&Turntables|TVWall&CeilingMounts",96.0,399.0,76.0,3.6
"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions",54990.0,85000.0,35.0,4.3
